id,province,area,vendor_name,vendor_type,specialty,level,address,phone 2,phone,price_before,Price_after,,,,,,,,,
3.0,القاهرة,وسط البلد,السيدة زينب,مستشفى,جميع التخصصات,B,11ش بور سعيد برج الشرق,1022188075,,200,قائمه اسعار مرفقه,,,,,,,,,,,,,,
4.0,القاهرة,وسط البلد,تبارك,مستشفى,أطفال,B,216 شارع بور سعيد,	23926067,,150,130,,,,,,,,,,,,,,
5.0,القاهرة,وسط البلد, الكحكى,مراكز طبية ,جميع التخصصات,B,14ب شارع الجمهورية - بجانب محكمه عابدين ومسرح الجمهورية,0223957988 - 0223958100,,400,200ج,,,,,,,,,,,,,,
6.0,القاهرة,وسط البلد,ايمن الكحكى,مراكز طبية ,جميع التخصصات,B,14ب شارع الجمهورية - بجوار محكمة عابدين و مسرح الجمهورية  عمارة شريف - الدور السادس,01018470222 - 01018430033,,750,200ج,,,,,,,,,,,,,,
7.0,القاهرة,وسط البلد,تكنو كلينك,مراكز طبية ,جميع التخصصات,B,183ش التحرير - باب اللوق - عماره استراند - الدور الثانى,1004642867,,350,كشف 80ج  عضو 50ج - عضوين 60ج,,,,,,,,,,,,,,
8.0,القاهرة,وسط البلد,القاهرة لامراض الكلي,مراكز متخصصة,كلي ,B,3 ش حسين المعمار محمود بسيوني,25780822,25790221,450,170 كشف,,,,,,,,,,,,,,
9.0,القاهرة,وسط البلد,عيادة ال خليل,مراكز متخصصة,رمد,B,برج ابو طالب امام مسجد قيون ناصية الحلمية الجديدة,01090937938,,400,,,,,,,,,,,,,,,
10.0,القاهرة,وسط البلد,عين العالم للعيون,مراكز متخصصة,رمد,B,36 ش رشدي امام محكمة عابدين,23920083/4 - 01205566005,,350,70 الكشف ,,,,,,,,,,,,,,
11.0,القاهرة,وسط البلد,"الروضة للمسالك البولية
 وتفتيت الحصوات",مراكز متخصصة,مسالك بولية,B,34 شارع الاخشيد,1223477727,,300,100 كشف,,,,,,,,,,,,,,
12.0,القاهرة,وسط البلد," كارديو كلينك
(د.محمد عبدالفتاح قنديل)",مراكز متخصصة,قلب,B,11ميدان الفلكي عمارة البدراوي باب اللوق القاهرة,02/23923044,01001078973,500,100 كشف,,,,,,,,,,,,,,
13.0,القاهرة,وسط البلد,العزبي,صيدليات,أدوية,B,محل رقم 104أ - محطة سكة حديد مصر - رمسيس,19600,,,محلى 7.5% - 5% المستلزمات ومستحضرات التجميل,,,,,,,,,,,,,,
14.0,القاهرة,وسط البلد,العزبي,صيدليات,أدوية,B,123 ش عبد العزيز آل سعود - المنيل,19600,,,محلى 7.5% - 5% المستلزمات ومستحضرات التجميل,,,,,,,,,,,,,,
15.0,القاهرة,وسط البلد,العزبي,صيدليات,أدوية,B,24 ش هدى شعراوى - خلف وزارة الأوقاف - الفلكى,19600,,,محلى 7.5% - 5% المستلزمات ومستحضرات التجميل,,,,,,,,,,,,,,
16.0,القاهرة,وسط البلد,العزبي,صيدليات,أدوية,B,2 ش خيرت - السيدة زينب ,19600,,,محلى 7.5% - 5% المستلزمات ومستحضرات التجميل,,,,,,,,,,,,,,
17.0,القاهرة,وسط البلد,العزبي,صيدليات,أدوية,B,محل رقم 2  -   1 ميدان طلعت حرب,19600,,,محلى 7.5% - 5% المستلزمات ومستحضرات التجميل,,,,,,,,,,,,,,
18.0,القاهرة,وسط البلد,العزبي,صيدليات,أدوية,B,23 ش أمين سامى ناصية ش قصر العينى,19600,,,محلى 7.5% - 5% المستلزمات ومستحضرات التجميل,,,,,,,,,,,,,,
19.0,القاهرة,وسط البلد,العزبي,صيدليات,أدوية,B,317 ش رمسيس -اخر نزلة كوبرى احمد سعيد0,19600,,,محلى 7.5% - 5% المستلزمات ومستحضرات التجميل,,,,,,,,,,,,,,
,القاهرة,وسط البلد,كير,صيدليات,أدوية,B,230شارع بورسعيد - امام مدرسة الخديوية - السيدة زينب - القاهرة,19757,011-16882256,,محلى 10% ومستورد 3 %,,,,,,,,,,,,,,
,القاهرة,وسط البلد,كير,صيدليات,أدوية,B,37أ شارع القصر العينى - امام مسرح النهار - القاهرة,19757,011-27801322,,محلى 10% ومستورد 3 %,,,,,,,,,,,,,,
,القاهرة,وسط البلد,كير,صيدليات,أدوية,B, 6 شارع بهجت على  - الزمالك - القاهرة,19757,011-21339997,,محلى 10% ومستورد 3 %,,,,,,,,,,,,,,
,القاهرة,وسط البلد,كير,صيدليات,أدوية,B,45 شارع الجمهورية -امام مسجد الكخيا - عابدين - القاهرة,19757,011-03057609,,محلى 10% ومستورد 3 %,,,,,,,,,,,,,,
,القاهرة,وسط البلد,كير,صيدليات,أدوية,B,563 شارع بورسعيد - امام مستشفى سيد جلال - باب الشعرية - القاهرة,19757,011-50258639,,محلى 10% ومستورد 3 %,,,,,,,,,,,,,,
,القاهرة,وسط البلد,كير,صيدليات,أدوية,B,15 شارع شريف - امام البنك المركزى - عابدين - القاهرة,19757,011-00741175,,محلى 10% ومستورد 3 %,,,,,,,,,,,,,,
,القاهرة,وسط البلد,كير,صيدليات,أدوية,B,183 شارع التحرير - عمارة ستراند - باب اللوق - القاهرة,19757,011-56984188,,محلى 10% ومستورد 3 %,,,,,,,,,,,,,,
,القاهرة,وسط البلد,كير,صيدليات,أدوية,B,9شارع متحف المنيل - بجوار سنترال المنيل - المنيل - القاهرة,19757,011-16886979,,محلى 10% ومستورد 3 %,,,,,,,,,,,,,,
,القاهرة,وسط البلد,كير,صيدليات,أدوية,B,57 شارع المنيل - امام بنك مصر - المنيل - القاهرة,19757, 011-22889100,,محلى 10% ومستورد 3 %,,,,,,,,,,,,,,
24.0,القاهرة,وسط البلد, الرزيقي,صيدليات,أدوية,B,35ش الجلاء - وسط البلد - ميدان رمسيس,19763,01014019763,,%محلى 15% ومستورد 10,,,,,,,,,,,,,,
25.0,القاهرة,وسط البلد,كايرو سكان,مراكز اشعه,أشعة وتحاليل,B,15ميدان التحرير بجوار مطعم كنتاكى - وسط البلد,19144,,,خصم 15%على الاسعار,,,,,,,,,,,,,,
,القاهرة,وسط البلد,nsa labs,معامل تحاليل,تحاليل,B,5ش طلعت حرب- ميدان التحرير,15176,10122179910,,موسسه 2017خصم30%,,,,,,,,,,,,,,
26.0,القاهرة,وسط البلد,الشروق للاشعة و التحاليل,معامل تحاليل,تحاليل واشعه,B,72 ش المنيل بجوار ميدان الباشا,235683785,0235683784,,خصم 15%على الاسعار,,,,,,,,,,,,,,
27.0,القاهرة,وسط البلد,الشروق للاشعة و التحاليل,معامل تحاليل,تحاليل واشعه,B,92أ ش محمد فريد - الدور الاول - اعلى محطة مترو محمد نجيب - عابدبن ,15184,,,خصم 15%على الاسعار,,,,,,,,,,,,,,
28.0,القاهرة,وسط البلد,الحياة للاشعة_ رمسيس,مراكز اشعه,أشعة,B,37 شارع عماد الدين تقاطع شارع رمسيس-بجوار مسجد الفتح,25891984,25891985,,خصم 15%على الاسعار,,,,,,,,,,,,,,
29.0,القاهرة,وسط البلد,الطاهرة للأشعه ,مراكز اشعه ,اشعه ,B,251ش بورسعيد	,19173	,,,%خصم20,,,,,,,,,,,,,,
